	citric acid	citric acid	citric acid	citric acid	glucose	glucose	glucose	glucose	malic acid	malic acid	malic acid	malic acid
	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1
	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184
y000636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000650	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000658	2.31	1.702	2.396	0.427	2.438	0.622	0.0	2.358	0.222	0.0	0.0	0.0
y000659	0.0	3.033	2.718	0.565	0.0	0.0	0.505	1.443	0.0	2.097	2.706	0.889
y000661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000663	0.0	-0.062	0.0	0.0	-0.074	-0.134	-0.198	-0.026	0.0	-0.073	0.0	0.0
y000664	-0.024	0.0	-0.062	-0.013	0.0	0.0	0.0	0.0	-0.033	0.0	-0.087	-0.029
y000665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000667	0.005	0.013	0.013	0.003	0.015	0.027	0.041	0.005	0.007	0.015	0.018	0.006
y000668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000669	0.024	0.062	0.062	0.013	0.074	0.134	0.198	0.026	0.033	0.073	0.087	0.029
y000670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000674	-0.044	0.0	-0.115	-0.024	0.0	0.0	0.0	0.0	-0.12	0.0	-0.161	-0.053
y000675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000678	0.038	0.098	0.099	0.021	0.117	0.212	0.315	0.041	0.052	0.117	0.139	0.046
y000679	-0.03	-0.076	-0.077	-0.016	-0.091	-0.165	-0.245	-0.032	-0.04	-0.09	-0.108	-0.035
y000681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000692	0.0	0.048	0.048	0.01	0.057	0.104	0.154	0.02	0.025	0.057	0.068	0.022
y000693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000698	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000699	0.0	-0.124	0.0	0.0	-0.148	-0.268	-0.398	-0.052	-0.066	-0.147	-0.175	-0.058
y000700	-0.048	0.0	-0.125	-0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000713	0.334	2.04	1.102	0.229	3.73	3.586	2.648	4.387	2.204	11.426	6.273	2.062
y000714	0.263	0.716	0.683	0.142	-1.784	-2.774	-2.044	-0.552	1.209	0.883	0.958	0.315
y000715	-0.0	-0.0	-0.0	-0.0	-0.0	-0.001	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
y000716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000718	0.154	0.0	0.584	0.192	0.0	0.0	0.0	0.0	2.249	0.0	5.565	1.829
y000719	0.131	0.0	0.342	0.0	0.252	0.0	0.092	0.012	0.18	0.0	0.479	0.157
y000721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000722	0.013	0.032	0.033	0.007	0.039	0.07	0.104	0.014	0.017	0.039	0.046	0.015
y000723	-0.013	-0.032	-0.033	-0.007	-0.039	-0.07	-0.104	-0.014	-0.017	-0.039	-0.046	-0.015
y000724	0.0	0.0	0.0	0.0	0.153	0.108	0.16	0.0	0.0	0.0	0.0	0.0
y000725	0.042	0.109	0.11	0.023	0.064	0.284	0.422	0.076	0.058	0.13	0.154	0.051
y000726	0.007	0.019	0.019	0.004	0.023	0.041	0.061	0.008	0.01	0.022	0.027	0.009
y000727	0.024	0.062	0.063	0.013	0.075	0.135	0.2	0.026	0.033	0.074	0.088	0.029
y000728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000732	0.07	0.181	0.183	0.038	0.064	0.284	0.422	0.076	0.096	0.215	0.256	0.084
y000733	0.0	0.0	0.0	0.0	0.153	0.108	0.16	0.0	0.0	0.0	0.0	0.0
y000734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000735	0.003	0.008	0.008	0.002	0.01	0.017	0.026	0.003	0.004	0.01	0.011	0.004
y000736	0.012	0.03	0.03	0.006	0.036	0.065	0.097	0.013	0.016	0.036	0.042	0.014
y000737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000739	0.015	0.038	0.038	0.008	0.045	0.082	0.122	0.016	0.02	0.045	0.054	0.018
y000757	0.0	0.001	0.001	0.0	0.001	0.002	0.003	0.0	0.001	0.001	0.001	0.0
y000758	0.0	0.001	0.001	0.0	0.001	0.002	0.003	0.0	0.001	0.001	0.001	0.0
y000759	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000760	0.046	0.12	0.121	0.025	0.143	0.259	0.384	0.05	0.064	0.142	0.169	0.056
y000761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000764	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
y000765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000768	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
y000769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000781	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
y000782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000784	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
y000785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000790	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000792	0.003	0.008	0.008	0.002	0.009	0.017	0.025	0.003	0.004	0.009	0.011	0.004
y000793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000800	0.042	0.11	0.11	0.023	0.131	0.237	0.352	0.046	0.058	0.13	0.155	0.051
y000801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000811	0.112	0.29	0.292	0.061	20.177	11.058	2.598	27.63	0.154	0.344	0.409	0.135
y000812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000813	0.022	0.057	0.058	0.012	0.069	0.124	0.184	0.024	0.03	0.068	0.081	0.027
y000815	0.0	0.0	0.0	0.0	-0.017	-0.03	-0.044	-0.006	0.0	0.0	0.0	0.0
y000816	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000818	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000820	-0.022	-0.058	-0.058	-0.012	-0.069	-0.125	-0.185	-0.024	-0.031	-0.068	-0.081	-0.027
y000821	0.022	0.058	0.058	0.012	0.069	0.125	0.185	0.024	0.031	0.068	0.081	0.027
y000831	0.82	4.234	3.955	0.823	1.939	0.344	0.0	3.756	0.0	0.0	0.0	0.0
y000832	0.82	4.234	3.955	0.823	1.939	0.344	-0.0	3.756	0.0	0.0	0.0	0.0
y000841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000849	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000851	-0.026	-0.067	-0.068	-0.014	-0.08	-0.146	-0.216	-0.076	0.0	-0.215	-0.095	-0.031
y000852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000854	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.034	0.0	0.0
y000855	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000859	0.002	0.004	0.004	0.001	0.005	0.009	0.013	0.002	0.002	0.005	0.006	0.002
y000860	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
y000866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000875	0.0	0.001	0.001	0.0	0.001	0.002	0.003	0.0	0.001	0.001	0.001	0.0
y000876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000877	0.003	0.007	0.007	0.002	0.009	0.015	0.023	0.003	0.004	0.008	0.01	0.003
y000878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000880	0.003	0.008	0.008	0.002	0.009	0.017	0.025	0.003	0.004	0.009	0.011	0.004
y000882	0.046	0.12	0.121	0.025	0.143	0.259	0.384	0.05	0.064	0.142	0.169	0.056
y000883	0.022	0.057	0.058	0.012	0.069	0.124	0.184	0.024	0.03	0.068	0.081	0.027
y000884	0.627	2.602	1.631	0.339	0.0	0.0	0.0	0.0	1.456	6.17	2.285	0.751
y000885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000886	0.0	0.0	0.0	0.0	27.01	35.773	41.627	20.056	0.0	0.0	0.0	0.0
y000887	0.0	0.0	0.0	0.0	16.382	21.172	26.762	12.365	0.0	0.0	0.0	0.0
y000888	0.051	0.131	0.132	0.027	19.987	10.714	2.087	27.563	0.07	0.155	0.185	0.061
y000889	-0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	-0.0	0.0	0.0
y000890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000891	0.124	0.32	0.322	0.067	0.382	0.691	1.026	0.135	0.17	0.379	0.451	0.148
y000892	-0.406	-1.087	-1.057	-0.22	55.932	74.955	88.017	40.033	-0.634	-1.289	-1.481	-0.487
y000893	-0.53	-1.406	-1.379	-0.287	55.55	74.264	86.991	39.898	-0.804	-1.668	-1.933	-0.635
y000899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000900	0.002	0.004	0.004	0.001	0.005	0.009	0.013	0.002	0.002	0.005	0.006	0.002
y000901	0.002	0.004	0.004	0.001	0.005	0.009	0.013	0.002	0.002	0.005	0.006	0.002
y000902	-0.013	-0.032	-0.033	-0.007	-0.039	-0.07	-0.104	-0.014	-0.017	-0.039	-0.046	-0.015
y000903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000904	0.015	0.038	0.038	0.008	0.045	0.082	0.122	0.016	0.02	0.045	0.054	0.018
y000905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000907	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
y000908	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000909	0.017	0.044	0.044	0.009	0.052	0.094	0.14	0.018	0.023	0.052	0.062	0.02
y000910	0.017	0.044	0.044	0.009	0.052	0.094	0.14	0.018	0.023	0.052	0.062	0.02
y000911	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000912	0.045	0.116	0.116	0.024	0.138	0.25	0.371	0.049	0.061	0.137	0.163	0.054
y000913	0.005	0.014	0.014	0.003	0.017	0.03	0.044	0.006	0.007	0.016	0.02	0.006
y000914	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000915	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000916	0.072	0.187	0.189	0.039	0.223	0.404	0.6	0.079	0.099	0.222	0.264	0.087
y000917	0.124	0.32	0.322	0.067	0.382	0.691	1.026	0.135	0.17	0.379	0.451	0.148
y000918	0.124	0.32	0.322	0.067	0.382	0.691	1.026	0.135	0.17	0.379	0.451	0.148
y000919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000938	0.026	0.067	0.068	0.014	0.08	0.207	0.216	0.028	0.036	0.114	0.095	0.031
y000939	0.017	0.044	0.044	0.009	0.052	0.094	0.14	0.018	0.023	0.052	0.062	0.02
y000940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000943	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
y000949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000957	0.026	0.066	0.067	0.014	0.079	0.143	0.212	0.028	0.035	0.079	0.094	0.031
y000958	0.0	0.0	0.0	0.0	1.23	1.771	2.721	0.357	0.0	0.0	0.0	0.0
y000959	0.0	0.0	0.0	0.0	7.505	13.147	12.042	2.516	0.585	0.0	0.02	0.006
y000960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000961	0.06	0.336	0.339	0.07	3.394	2.978	3.727	4.269	2.054	3.448	5.203	1.71
y000962	0.0	0.889	0.0	0.0	55.252	73.602	86.19	39.793	0.519	4.138	0.0	0.0
y000963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000974	0.004	0.011	0.011	0.002	0.013	0.024	0.036	0.005	0.006	0.013	0.016	0.005
y000975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000976	0.009	0.022	0.023	0.005	0.027	0.048	0.072	0.009	0.012	0.027	0.032	0.01
y000977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000978	0.004	0.011	0.011	0.002	0.013	0.024	0.036	0.005	0.006	0.013	0.016	0.005
y000979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000982	0.064	0.176	0.168	0.035	16.606	21.576	27.362	12.443	0.166	0.209	0.235	0.077
y000983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000984	-0.064	-0.176	-0.168	-0.035	-14.47	-17.762	-21.997	-12.443	0.066	-0.209	-0.235	-0.077
y000985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000986	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000988	0.038	0.098	0.099	0.021	0.117	0.212	0.315	0.041	0.052	0.117	0.139	0.046
y000989	0.038	0.098	0.099	0.021	0.117	0.212	0.315	0.041	0.052	0.117	0.139	0.046
y000990	0.0	0.0	0.0	0.0	16.382	21.172	26.762	12.365	0.0	0.0	0.0	0.0
y000993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000996	0.048	0.153	0.126	0.026	0.149	0.331	0.4	0.053	0.066	0.182	0.176	0.058
y000997	0.048	0.153	0.126	0.026	0.149	0.331	0.4	0.053	0.066	0.182	0.176	0.058
y000998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y001001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
