!!SBtab TableType='Compound' TableName='Compound Formation Energies pH=5.0'
!Identifiers:kegg.compound,!Compound,transformed standard Gibbs free energy of formation [kJ/mol],pH,ionic strength [M],temperature [K],!Comment
C00216,D-Arabinose,-336.80000000000001,7.0,0.1,298.15,
C00218,Methylamine,202.80000000000001,7.0,0.1,298.15,
C00224,Adenylyl sulfate,-1057.9000000000001,7.0,0.1,298.15,
C00227,Acetyl phosphate,-1106.7,7.0,0.1,298.15,
C00233,4-Methyl-2-oxopentanoate,-80.799999999999997,7.0,0.1,298.15,
C00236,3-Phospho-D-glyceroyl phosphate,-2206.0,7.0,0.1,298.15,
C00237,CO,-119.90000000000001,7.0,0.1,298.15,
C00243,Lactose,-675.29999999999995,7.0,0.1,298.15,
C00244,Nitrate,-109.40000000000001,7.0,0.1,298.15,
C00245,Taurine,-266.69999999999999,7.0,0.1,298.15,
C00246,Butanoic acid,-69.400000000000006,7.0,0.1,298.15,
C00247,L-Sorbose,-425.39999999999998,7.0,0.1,298.15,
C00249,Hexadecanoic acid,996.89999999999998,7.0,0.1,298.15,
C00252,Isomaltose,-695.70000000000005,7.0,0.1,298.15,
C00257,D-Gluconic acid,-682.89999999999998,7.0,0.1,298.15,
C00258,D-Glycerate,-458.89999999999998,7.0,0.1,298.15,
C00262,Hypoxanthine,251.69999999999999,7.0,0.1,298.15,
C00275,D-Mannose-6-phosphate,-1316.5,7.0,0.1,298.15,
C00282,Hydrogen,98.700000000000003,7.0,0.1,298.15,
C00283,Hydrogen sulfide,50.799999999999997,7.0,0.1,298.15,
C00288,CO2(total),-547.20000000000005,7.0,0.1,298.15,
C00294,Inosine,77.400000000000006,7.0,0.1,298.15,
C00300,Creatine,105.7,7.0,0.1,298.15,
C00305,Magnesium cation,77.400000000000006,7.0,0.1,298.15,
C00309,D-Ribulose,-330.5,7.0,0.1,298.15,
C00310,D-Xylulose,-340.69999999999999,7.0,0.1,298.15,
C00311,Isocitrate,-959.0,7.0,0.1,298.15,
C00313,Oxalyl-CoA,731.70000000000005,7.0,0.1,298.15,
C00332,Acetoacetyl-CoA,1164.5999999999999,7.0,0.1,298.15,
C00342,Thioredoxin,55.399999999999999,7.0,0.1,298.15,
C00343,Thioredoxin disulfide,0.0,7.0,0.1,298.15,
C00354,"D-Fructose-1,6-bisphosphate",-2205.9000000000001,7.0,0.1,298.15,
C00366,Urate,-204.90000000000001,7.0,0.1,298.15,
C00376,Retinal,1135.3,7.0,0.1,298.15,
C00379,Xylitol,-297.5,7.0,0.1,298.15,
C00387,Guanosine,527.10000000000002,7.0,0.1,298.15,
C00390,Ubiquinol,3640.4000000000001,7.0,0.1,298.15,
C00392,Mannitol,-375.0,7.0,0.1,298.15,
C00399,Ubiquinone,3649.1999999999998,7.0,0.1,298.15,
C00407,L-Isoleucine,183.19999999999999,7.0,0.1,298.15,
C00417,cis-Aconitate,-801.0,7.0,0.1,298.15,
C00423,trans-Cinnamate,154.5,7.0,0.1,298.15,
C00455,Nicotinamide D-ribonucleotide,1405.0,7.0,0.1,298.15,
C00463,Indole,507.60000000000002,7.0,0.1,298.15,
C00469,Ethanol,61.600000000000001,7.0,0.1,298.15,
C00473,Retinol,1188.5,7.0,0.1,298.15,
C00474,Ribitol,-288.19999999999999,7.0,0.1,298.15,
C00476,D-Lyxose,-343.69999999999999,7.0,0.1,298.15,
C00491,L-Cystine,-179.90000000000001,7.0,0.1,298.15,
C00533,Nitric oxide,86.599999999999994,7.0,0.1,298.15,
C00543,Dimethylamine,320.5,7.0,0.1,298.15,
C00565,Trimethylamine,442.10000000000002,7.0,0.1,298.15,
C00575,"3',5'-Cyclic AMP",-345.5,7.0,0.1,298.15,
C00577,D-Glyceraldehyde,-196.69999999999999,7.0,0.1,298.15,
C00620,D-Ribose-1-phosphate,-1225.5999999999999,7.0,0.1,298.15,
C00631,2-Phospho-D-glycerate,-1341.4000000000001,7.0,0.1,298.15,
C00636,D-Mannos-1-phosphate,-1311.2,7.0,0.1,298.15,
C00644,d-mannitol-1-phosphate,-1269.2,7.0,0.1,298.15,
C00673,2-Deoxy-D-ribose-5-phosphate,-1085.9000000000001,7.0,0.1,298.15,
C00697,Nitrogen,18.699999999999999,7.0,0.1,298.15,
C00791,Creatinine,260.69999999999999,7.0,0.1,298.15,
C00794,D-Sorbitol,-378.69999999999999,7.0,0.1,298.15,
C00849,Ethyl acetate,-13.300000000000001,7.0,0.1,298.15,
C00887,Nitrous oxide,104.2,7.0,0.1,298.15,
C00920,CoA-glutathione,1990.9000000000001,7.0,0.1,298.15,
C01005,O-Phospho-L-serine,-1120.2,7.0,0.1,298.15,
C01013,3-Hydroxypropanoate,-316.30000000000001,7.0,0.1,298.15,
C01083,"alpha,alpha-Trehalose",-690.70000000000005,7.0,0.1,298.15,
C01096,D-Sorbitol 6-phosphate,-1268.7,7.0,0.1,298.15,
C01112,Arabinose-5-phosphate,-1236.3,7.0,0.1,298.15,
C01113,6-Phospho-D-galactose,-1313.5,7.0,0.1,298.15,
C01127,4-Hydroxy-2-oxoglutaric acid,-812.0,7.0,0.1,298.15,
C01236,"6-Phospho-D-glucono-1,5-lactone",-1383.8,7.0,0.1,298.15,
C01352,FADH2,1296.7,7.0,0.1,298.15,
C01384,Maleic acid,-513.39999999999998,7.0,0.1,298.15,
C01412,Butanal,194.5,7.0,0.1,298.15,
C01417,Cyanate,-98.0,7.0,0.1,298.15,
C01438,Methane,127.90000000000001,7.0,0.1,298.15,
C01507,L-Iditol,-377.10000000000002,7.0,0.1,298.15,
C01563,Carbamate,-297.19999999999999,7.0,0.1,298.15,
C01845,Propan-2-ol,139.09999999999999,7.0,0.1,298.15,
C01847,Reduced FMN,810.20000000000005,7.0,0.1,298.15,
C01879,Pidolic acid,-226.5,7.0,0.1,298.15,
C02037,Glycylglycine,-195.80000000000001,7.0,0.1,298.15,
C02084,Tetrathionate,-1024.5999999999999,7.0,0.1,298.15,
C02226,2-Methylmaleate,-441.10000000000002,7.0,0.1,298.15,
C02557,DL-Methylmalonyl-CoA,901.39999999999998,7.0,0.1,298.15,
C02612,(R)-2-Methylmalate,-603.10000000000002,7.0,0.1,298.15,
C03196,(S)-2-Hydroxyglutarate,-599.29999999999995,7.0,0.1,298.15,
C03232,3-Phosphonooxypyruvate,-1373.0999999999999,7.0,0.1,298.15,
C03383,"D-Galactono-1,4-lactone",-499.89999999999998,7.0,0.1,298.15,
C03384,D-Galactose-1-phosphate,-1313.2,7.0,0.1,298.15,
C04348,(3S)-3-Carboxy-3-hydroxypropanoyl-CoA,740.39999999999998,7.0,0.1,298.15,
C05361,Hydrazine,290.19999999999999,7.0,0.1,298.15,
C05379,Oxalosuccinate,-979.10000000000002,7.0,0.1,298.15,
C05572,4-Oxoglutaramate,-353.19999999999999,7.0,0.1,298.15,
C05979,Propane-1-ol,148.59999999999999,7.0,0.1,298.15,
C05984,2-Hydroxybutanoic acid,-223.09999999999999,7.0,0.1,298.15,
C06142,1-Butanol,233.59999999999999,7.0,0.1,298.15,
C07064,Lactulose,-683.20000000000005,7.0,0.1,298.15,
C09306,Sulfur dioxide,-300.69999999999999,7.0,0.1,298.15,
C80045,ethane,226.30000000000001,7.0,0.1,298.15,
