	SRM (fmole/ug) - average of peptides_idp1_citric acid	SRM (fmole/ug) - average of peptides_idp1_glucose	SRM (fmole/ug) - average of peptides_idp1_malic acid	SRM (fmole/ug) - average of peptides_mae1_citric acid	SRM (fmole/ug) - average of peptides_mae1_glucose	SRM (fmole/ug) - average of peptides_mae1_malic acid	SRM (fmole/ug) - average of peptides_wild-type_citric acid	SRM (fmole/ug) - average of peptides_wild-type_glucose	SRM (fmole/ug) - average of peptides_wild-type_malic acid	SRM (fmole/ug) - average of peptides_zwf1_citric acid	SRM (fmole/ug) - average of peptides_zwf1_glucose	SRM (fmole/ug) - average of peptides_zwf1_malic acid	$\sigma$_idp1_citric acid	$\sigma$_idp1_glucose	$\sigma$_idp1_malic acid	$\sigma$_mae1_citric acid	$\sigma$_mae1_glucose	$\sigma$_mae1_malic acid	$\sigma$_wild-type_citric acid	$\sigma$_wild-type_glucose	$\sigma$_wild-type_malic acid	$\sigma$_zwf1_citric acid	$\sigma$_zwf1_glucose	$\sigma$_zwf1_malic acid
YALI0A14784g	2.651666666666667	7.326666666666667	8.993333333333334	2.8699999999999997	5.096666666666667	3.5116666666666667	2.9483333333333337	5.368333333333333	3.84	2.535	4.483333333333333	8.725	0.2996803852996279	0.5696563291435748	0.9321793461203325	0.8520123238545321	0.19775826994928242	0.3366130320313421	0.352751092604025	1.1226345502136186	0.3850973902793943	0.15787653403846968	0.41741266551619327	0.5242375415782433
YALI0A15972g	1.3066666666666669	2.485	0.5316666666666667	14.203333333333333	1.7216666666666667	0.15166666666666664	8.813333333333333	4.843333333333333	0.86	0.445	0.10166666666666667	0.07333333333333333	0.7079959981054507	1.284435673749371	0.17105067475263974	16.90729453027105	0.7379080791896327	0.048562674281111544	4.8377534386668914	4.935018574770853	0.441955880150949	0.2165640782770771	0.020816659994661334	0.020207259421636904
YALI0A21263g	0.5083333333333333	1.0283333333333333	1.6983333333333333	0.68	0.6566666666666667	0.525	0.4383333333333333	0.4566666666666666	0.47500000000000003	0.355	0.7316666666666666	1.3183333333333334	0.11405408073950417	0.08311638426527788	0.5814708361846993	0.030413812651491057	0.1371434771811381	0.09539392014169451	0.028867513459481246	0.05484827557301449	0.16255768207008864	0.05196152422706631	0.07320063751999233	0.20349037651283003
YALI0B02728g	29.82166666666667	47.220000000000006	54.37166666666666	34.855	50.546666666666674	20.138333333333332	35.08166666666666	52.31666666666666	32.800000000000004	37.663333333333334	59.47833333333333	76.43666666666667	2.316059872570942	3.7994966771929124	4.480539402051204	14.930906703881044	9.702953588126315	1.7376013159909058	4.40824322529206	11.129784738858763	1.527506137467213	7.204565103691782	5.797672665245359	0.9045625093565035
YALI0B05478g	0.5388888888888889	0.5577777777777778	0.6233333333333334	0.8611111111111112	1.0444444444444443	1.4411111111111108	1.1222222222222225	1.2433333333333334	1.222222222222222	0.73	0.611111111111111	0.6533333333333333	0.15536098943118581	0.25038488890624483	0.28448784391135834	0.38647025662948403	0.31371135589075316	0.125491625808849	0.32723306905244387	0.47875997233594103	0.4312041709411414	0.2281081614790082	0.2661314072519925	0.2053722906766582
YALI0B06941g	9.995	17.711666666666666	29.036666666666665	9.026666666666666	16.163333333333334	12.186666666666667	8.303333333333333	17.981666666666666	17.74833333333333	7.301666666666667	17.96166666666667	15.981666666666667	0.19313207915827899	3.1556391323047897	4.5058637721677	1.7397293850864648	4.141775987826159	1.0560105744420047	0.5762450289011904	1.677202531995863	3.471751479200856	0.31758201040571116	1.2500533321956049	1.4332160804754228
YALI0B08536g	14.756666666666668	48.60833333333334	37.65	25.215000000000003	61.876666666666665	22.073333333333334	23.17	75.05166666666666	42.47666666666667	41.44166666666667	75.1	88.59666666666668	0.7553531183051607	7.118852318550609	3.4874740142401053	4.030238826670204	8.777551385969398	1.208152860085733	2.749095305732417	0.5785830392720869	8.73754303756687	5.064243115543857	17.42033581765862	3.0169700584084946
YALI0B14377p	76.06166666666668	174.81000000000003	110.89666666666669	76.94166666666666	167.155	36.294999999999995	89.07666666666667	177.07333333333335	86.47666666666667	79.93833333333335	124.73666666666664	97.93166666666667	6.366546028525468	21.952295438062958	8.743975545101513	6.608086586398005	11.331777221601216	4.50006944390862	8.88185979023162	33.213525231949305	13.121956154984412	15.726903965286159	13.521858538430791	2.266502445031405
YALI0B14927g	0.5866666666666668	1.2533333333333332	0.4483333333333333	1.805	0.9133333333333332	0.055	1.2066666666666668	1.4033333333333333	0.9049999999999999	0.3333333333333333	0.2866666666666667	0.11333333333333333	0.098784276751583	0.2507156423786384	0.10103629710818446	0.9628603221651622	0.12553220038433707	0.01	0.3375771516754849	0.2964090641888898	0.364039832985348	0.09251126057585282	0.06714412359494563	0.051316014394468853
YALI0B15059g	0.5499999999999999	1.3533333333333335	1.2666666666666666	2.1533333333333333	1.7233333333333334	0.19166666666666668	0.6233333333333333	2.4566666666666666	0.6866666666666666	0.5616666666666666	1.1733333333333336	1.255	0.1430908802125418	0.20428737928059412	0.23099422792211355	2.6956276325437334	0.303740569126571	0.017559422921421233	0.08326663997864527	0.19655363983740776	0.24006943440041117	0.0768656837173347	0.09827681991870384	0.06264982043070834
