Strain,KO,citric acid,glucose,malic acid
idp1,YALI0F04095g,0.07310740256349334,0.10435149720299587,0.05008155937812387
mae1,YALI0E18634g,0.07331796028531931,0.10349851588415496,0.04917918306469007
wild-type,,0.07310740256349185,0.10484702633624784,0.0503225811726846
zwf1,YALI0E22649g,0.07310740256349194,0.10484702633624815,0.05032258117268478
