metabolites	zwf1_citric acid_Metabolites (ng/mg DW)_std	zwf1_glucose_Metabolites (ng/mg DW)_std	zwf1_malic acid_Metabolites (ng/mg DW)_std	mae1_citric acid_Metabolites (ng/mg DW)_std	mae1_glucose_Metabolites (ng/mg DW)_std	mae1_malic acid_Metabolites (ng/mg DW)_std	idp1_citric acid_Metabolites (ng/mg DW)_std	idp1_glucose_Metabolites (ng/mg DW)_std	idp1_malic acid_Metabolites (ng/mg DW)_std	wild-type_citric acid_Metabolites (ng/mg DW)_std	wild-type_glucose_Metabolites (ng/mg DW)_std	wild-type_malic acid_Metabolites (ng/mg DW)_std	zwf1_citric acid_Metabolites (ng/mg DW)_mean	zwf1_glucose_Metabolites (ng/mg DW)_mean	zwf1_malic acid_Metabolites (ng/mg DW)_mean	mae1_citric acid_Metabolites (ng/mg DW)_mean	mae1_glucose_Metabolites (ng/mg DW)_mean	mae1_malic acid_Metabolites (ng/mg DW)_mean	idp1_citric acid_Metabolites (ng/mg DW)_mean	idp1_glucose_Metabolites (ng/mg DW)_mean	idp1_malic acid_Metabolites (ng/mg DW)_mean	wild-type_citric acid_Metabolites (ng/mg DW)_mean	wild-type_glucose_Metabolites (ng/mg DW)_mean	wild-type_malic acid_Metabolites (ng/mg DW)_mean	zwf1_citric acid_$c+\sigma$	zwf1_glucose_$c+\sigma$	zwf1_malic acid_$c+\sigma$	mae1_citric acid_$c+\sigma$	mae1_glucose_$c+\sigma$	mae1_malic acid_$c+\sigma$	idp1_citric acid_$c+\sigma$	idp1_glucose_$c+\sigma$	idp1_malic acid_$c+\sigma$	wild-type_citric acid_$c+\sigma$	wild-type_glucose_$c+\sigma$	wild-type_malic acid_$c+\sigma$	zwf1_citric acid_$c-\sigma$	zwf1_glucose_$c-\sigma$	zwf1_malic acid_$c-\sigma$	mae1_citric acid_$c-\sigma$	mae1_glucose_$c-\sigma$	mae1_malic acid_$c-\sigma$	idp1_citric acid_$c-\sigma$	idp1_glucose_$c-\sigma$	idp1_malic acid_$c-\sigma$	wild-type_citric acid_$c-\sigma$	wild-type_glucose_$c-\sigma$	wild-type_malic acid_$c-\sigma$	zwf1_citric acid_$\log\left(c+\sigma\right)$	zwf1_glucose_$\log\left(c+\sigma\right)$	zwf1_malic acid_$\log\left(c+\sigma\right)$	mae1_citric acid_$\log\left(c+\sigma\right)$	mae1_glucose_$\log\left(c+\sigma\right)$	mae1_malic acid_$\log\left(c+\sigma\right)$	idp1_citric acid_$\log\left(c+\sigma\right)$	idp1_glucose_$\log\left(c+\sigma\right)$	idp1_malic acid_$\log\left(c+\sigma\right)$	wild-type_citric acid_$\log\left(c+\sigma\right)$	wild-type_glucose_$\log\left(c+\sigma\right)$	wild-type_malic acid_$\log\left(c+\sigma\right)$	zwf1_citric acid_$\log\left(c-\sigma\right)$	zwf1_glucose_$\log\left(c-\sigma\right)$	zwf1_malic acid_$\log\left(c-\sigma\right)$	mae1_citric acid_$\log\left(c-\sigma\right)$	mae1_glucose_$\log\left(c-\sigma\right)$	mae1_malic acid_$\log\left(c-\sigma\right)$	idp1_citric acid_$\log\left(c-\sigma\right)$	idp1_glucose_$\log\left(c-\sigma\right)$	idp1_malic acid_$\log\left(c-\sigma\right)$	wild-type_citric acid_$\log\left(c-\sigma\right)$	wild-type_glucose_$\log\left(c-\sigma\right)$	wild-type_malic acid_$\log\left(c-\sigma\right)$
Glycerol	15.72070813328789	723.0397505928223	32.03085069443384	33.822446082280756	215.74108122504063	90.89015135456401	14.329434533997441	51.41460822780616	47.24523727969577	106.06514933758764	68.16115277985301	68.26615028437045	227.08247932056307	810.2698948567389	210.56680571664253	203.04794980247607	357.0031075843653	187.05652079463133	137.6712407568931	225.2570194806524	189.71975549135797	425.12189413877223	377.0580611777985	227.40684189774333	242.80318745385097	1533.3096454495612	242.59765641107637	236.87039588475682	572.744188809406	277.94667214919536	152.00067529089054	276.6716277084586	236.96499277105374	531.1870434763599	445.2192139576515	295.6729921821138	211.36177118727517	87.2301442639166	178.5359550222087	169.22550372019532	141.26202635932466	96.16636944006731	123.34180622289566	173.84241125284623	142.4745182116622	319.0567448011846	308.8969083979455	159.1406916133729	5.4922511869980655	7.335183845069894	5.491404336162697	5.467513138749667	6.3504391751614975	5.627429268488068	5.0238849635396345	5.622831343438123	5.467912420398183	6.275114206818748	6.098566776506163	5.689254087489667	5.353571220693839	4.468549962277494	5.184790009631505	5.131232167020144	4.950616508769045	4.566079706530735	4.814959413715044	5.158149206381467	4.959163164151297	5.765368970354764	5.7330075914508365	5.06978866388297
Glycine	11.941219124235818	485.44297518341347	11.70699912718719	12.40532479307875	319.5520106305819	20.969680907607565	27.455146467045857	175.48030018598274	55.01570173286147	31.653231848580575	82.2839012016056	19.984489563895828	99.37344067251979	621.1109221151424	229.80079737645124	129.04964925295522	351.55262787881406	136.65538500414672	285.6615477611456	458.8898765278648	289.0845875388608	228.46715703607933	340.50546486850794	222.23167968962926	111.3146597967556	1106.553897298556	241.50779650363845	141.45497404603398	671.104638509396	157.6250659117543	313.1166942281914	634.3701767138475	344.10028927172226	260.1203888846599	422.78936607011354	242.2161692535251	87.43222154828398	135.66794693172898	218.09379824926404	116.64432445987647	32.000617248232174	115.68570409653915	258.20640129409975	283.4095763418821	234.0688858059993	196.81392518749874	258.22156366690234	202.24719012573343	4.712360963864502	7.009005868018838	5.48690175623048	4.951981461823792	6.508925068940927	5.0602192124404555	5.746575946068375	6.452632658991549	5.8409331534648725	5.561144558020055	6.04687410247381	5.4898305888143675	4.470863882320791	4.910210333573169	5.38492523744916	4.759129342846366	3.4657551916209517	4.750877066466397	5.553759270104063	5.646893117588581	5.4556154558216186	5.282258740181478	5.553817990289009	5.3094906627678435
Isocitrate	72.96403503984878	1006.5218613836801	13.39769001040124	111.81365148078262	364.8845123663099	59.75046499090228	120.68646811538014	92.90366021765536	62.50016082036298	181.46607354241883	183.7726547811173	156.69949877324936	286.82235926066545	1107.2437334605709	416.2385883990783	493.67813955285084	591.086930468316	304.30641189998033	374.85200155360616	536.9026855847133	530.1461856180558	767.8916016169904	615.2517983349161	491.3623218790619	359.78639430051425	2113.7655948442507	429.63627840947953	605.4917910336335	955.9714428346259	364.0568768908826	495.5384696689863	629.8063458023686	592.6463464384188	949.3576751594093	799.0244531160333	648.0618206523112	213.85832422081666	100.7218720768908	402.8408983886771	381.8644880720682	226.20241810200616	244.55594690907805	254.16553343822602	443.9990253670579	467.64602479769286	586.4255280745716	431.4791435537988	334.66282310581255	5.885510506183638	7.6562262779948	6.0629389865786525	6.406041005566205	6.862728041093341	5.897310110624902	6.2056449888370615	6.4454123845170335	6.384597840718553	6.855785624503511	6.6833915499488175	6.473986094042991	5.365313759427693	4.612362976506276	5.998541690915172	5.945065802403461	5.4214302537310095	5.499444104453252	5.537985761199817	6.095822367310577	6.147711652465286	6.374045683176337	6.067219174601668	5.813123526774026
Malate	1055.3448452799341	4440.1678947118	1967.9553496892704	689.0635884892968	6786.760803632092	2889.097492945409	978.0841438350541	1506.5081692002825	2133.0457982082366	1951.2989566077676	4185.15227730421	5079.141303366604	3432.023374517081	6377.3424637633625	11565.49612973571	2115.051426058403	7900.645644244855	9001.02151598623	5592.290651229055	7300.291373597121	7986.408040703888	4696.805379670704	11825.109730438111	11474.437287623683	4487.368219797015	10817.510358475163	13533.45147942498	2804.1150145477	14687.406447876947	11890.119008931639	6570.374795064109	8806.799542797404	10119.453838912124	6648.104336278471	16010.26200774232	16553.578590990288	2376.678529237147	1937.1745690515627	9597.540780046438	1425.9878375691064	1113.8848406127636	6111.9240230408195	4614.206507394	5793.783204396838	5853.362242495652	2745.506423062936	7639.957453133901	6395.295984257079	8.409021666303396	9.28892142966504	9.51291978689038	7.938843265340261	9.59474570135998	9.383462998796354	8.790326156284463	9.083279377424292	9.222214972898161	8.80208703079818	9.68098517111246	9.714357586493932	7.773459215991652	7.568985782759425	9.169262175893948	7.262620071883946	7.01560904046934	8.717996899983888	8.436895194427857	8.664540760369473	8.674771517431749	7.917720826203692	8.941147313183528	8.763317996641195
Mannitol	968.4277252041761	24535.98738023378	531.8952373240871	614.6027640169061	13392.31543234215	4838.971885070284	469.9720066167635	3089.7514423459074	773.568795005599	4147.958183958757	15666.52049111596	3237.920793044421	11426.271783768687	29345.034675241488	10721.023585674633	13800.153507076719	12275.662058173257	12849.010747644736	12280.26970523785	3823.1507019496457	11665.326504610906	28572.308109789232	13504.166481054446	17306.923326266002	12394.699508972863	53881.02205547527	11252.91882299872	14414.756271093625	25667.977490515404	17687.98263271502	12750.241711854613	6912.902144295553	12438.895299616506	32720.26629374799	29170.686972170406	20544.844119310423	10457.844058564511	4809.047295007709	10189.128348350547	13185.550743059812	-1116.6533741688927	8010.038862574452	11810.297698621087	733.3992596037383	10891.757709605306	24424.349925830473	-2162.3540100615137	14069.002533221581	9.425024201252704	10.894533599451206	9.328382824914213	9.576007701923569	10.15299948192267	9.780640740668586	9.453305508199394	8.841144820528363	9.428583560068382	10.395749929245545	10.28091961322451	9.930365294007657	9.255107603426778	8.478254275915871	9.229076582651306	9.486876868340497		8.988450891807744	9.376727116208263	6.597690246097226	9.295761608743193	10.103335861442382		9.551729254434171
PEP	111.79574557942681	394.81937262008216	35.12409059608	806.538095052284	97.27407137864651	51.43677450328512	11.133628308332316	88.0947044686632	13.84958892926506	74.88473895950416	40.66934442411677	89.85230988560605	321.73020720436443	863.460673555188	173.10631258543108	635.9135817875771	201.66934578411306	247.41894953234785	164.65057618915003	256.62077883118207	117.73526940901691	288.08952668359433	174.51600149175468	343.66829871788445	433.52595278379124	1258.2800461752702	208.2304031815111	1442.4516768398612	298.9434171627596	298.855724035633	175.78420449748234	344.71548329984523	131.58485833828198	362.9742656430985	215.18534591587144	433.5206086034905	209.93446162493763	468.64130093510585	137.98222198935107	-170.62451326470693	104.39527440546655	195.98217502906272	153.51694788081772	168.52607436251887	103.88568047975184	213.20478772409018	133.84665706763792	253.8159888322784	6.071951662441938	7.137501024707957	5.3386451742493515	7.274099498230047	5.700254315224161	5.699960928627519	5.169257131939545	5.8427193907033095	4.87965195405177	5.8943319382066015	5.371499730782576	6.071939335121725	5.346795394507733	6.149837659055226	4.927124850694279		4.648184410108624	5.278023711365614	5.033810970579577	5.12709048181201	4.643291068392973	5.362253148531527	4.896694794440713	5.536609551059126
Pyruvate	657.8563835899396	755.1387125223066	22.57712570019306	199.84738653443782	682.352533884188	189.54868226709476	390.67078036499925	1719.5754091114313	313.76371688915816	28.658065579491	462.80782419742394	2573.8855649551992	2396.639022616675	962.366255373141	73.23452688192714	413.066607338497	2076.739868775459	1514.0151189237556	1433.947310460792	6433.080232230622	1925.2666760478205	16.54574187677308	432.77848679324643	3610.2631276776174	3054.4954062066145	1717.5049678954476	95.8116525821202	612.9139938729348	2759.0924026596467	1703.5638011908504	1824.6180908257913	8152.655641342053	2239.030392936979	45.20380745626408	895.5863109906704	6184.148692632816	1738.7826390267355	207.22754285083442	50.65740118173407	213.2192208040592	1394.387334891271	1324.4664366566608	1043.2765300957929	4713.50482311919	1611.5029591586624	-12.112323702717923	-30.02933740417751	1036.3775627224181	8.024369688145857	7.448627916607865	4.562384312048838	6.418224622459677	7.922657065015523	7.440477689402816	7.509125978816617	9.006098998722214	7.7137981908420326	3.8111813190486084	6.797478599872046	8.729744634711826	7.460940514608118	5.333817430367844	3.925085344042008	5.3623208420932675	7.240210411326976	7.188764968003479	6.950121549386318	8.458187034092113	7.384922537529738			6.943486799208545
Ribose-5P	30.293247280302854	771.4027880944162	14.321147759067562	40.655432861714864	382.6193983912813	55.6996941917647	55.04472335256786	44.68016037542954	59.437925692473435	128.6309507978288	187.92136278931596	57.38753904556356	137.4197594196239	838.5097831828883	290.93164885445594	296.618044038749	466.7470306102136	345.3345892036347	474.2999587685653	823.2117685223648	330.7244519584879	524.7853889362449	686.0072334755772	525.3950830142381	167.71300669992675	1609.9125712773046	305.2527966135235	337.2734769004639	849.3664290014949	401.0342833953994	529.3446821211331	867.8919288977943	390.16237765096133	653.4163397340737	873.9285962648931	582.7826220598017	107.12651213932104	67.1069950884721	276.6105010953884	255.96261117703415	84.12763221893226	289.63489501187	419.25523541599745	778.5316081469352	271.2865262660145	396.1544381384161	498.0858706862613	468.00754396867455	5.122254225153298	7.383935152949548	5.72114027466391	5.820894105416571	6.744490693907027	5.994046918403721	6.271639792684583	6.766067201030733	5.966563005424036	6.482214506099586	6.77299867468068	6.367814255859671	4.6740104924712575	4.206288287254581	5.622610383424645	5.545031383723499	4.432335076853485	5.668621147078281	6.038479888200776	6.657409591794652	5.603175554834169	5.981804130525111	6.21077249325703	6.148484415378912
Ribulose-5P	167.90871808153298	1065.8778048141135	16.85967619409581	58.6807856503645	290.24919571640845	75.47332333760345	73.94896561830583	411.6178500129237	79.92613555377655	63.55155991390999	307.71991577609526	390.5657966766367	699.8157424563173	1509.1149872915787	465.4504781948399	434.9778709489386	950.550825854603	544.0290558106307	565.3464608896471	1749.020929453711	692.5518517316578	576.7142610688012	756.7645601670162	1243.340014812991	867.7244605378503	2574.9927921056924	482.3101543889357	493.6586565993031	1240.8000215710115	619.5023791482341	639.2954265079529	2160.638779466635	772.4779872854344	640.2658209827111	1064.4844759431114	1633.9058114896277	531.9070243747842	443.23718247746524	448.5908020007441	376.2970852985741	660.3016301381945	468.5557324730272	491.3974952713413	1337.4030794407872	612.6257161778813	513.1627011548912	449.0446443909209	852.7742181363544	6.765874222488374	7.853602013911663	6.1785873809460465	6.201844299808301	7.12351162924709	6.428916541494807	6.460366673841183	7.678159188192901	6.649603512942512	6.461883435407227	6.970245900801278	7.398728630851328	6.276468707855439	6.09410502739569	6.106111118087994	5.930378951883967	6.492696745981659	6.149655053990835	6.197253362946171	7.198485012175016	6.4177541722604605	6.24059295113471	6.107122313514094	6.748494820938114
Sedoheptulose-7P	14.880617337074321	850.2658132354874	3.618959360588447	7.203132580097964	268.75447458764853	70.46894269520685	27.703337346812802	50.472313626253055	58.03589263525891	70.5573079675698	124.76447735324837	206.9083704080209	210.95499823419627	912.4937825728757	430.64762778289406	296.3210087128332	391.94216259776266	335.3453550257013	301.6260294999159	344.408037873578	409.7102928964357	504.3649563121678	522.086436023441	591.473415927447	225.83561557127058	1762.759595808363	434.2665871434825	303.5241412929312	660.6966371854112	405.81429772090814	329.3293668467287	394.880351499831	467.7461855316946	574.9222642797376	646.8509133766894	798.381786335468	196.07438089712196	62.227969337388345	427.0286684223056	289.1178761327352	123.18768801011413	264.8764123304944	273.92269215310307	293.93572424732497	351.6744002611768	433.807648344598	397.32195867019266	384.5650455194261	5.419807369885327	7.47463581224246	6.073658601613325	5.715461150311239	6.493294789247514	6.005895660188745	5.797058365019563	5.978582811419986	6.14792581019138	6.354234839101035	6.4721158404007735	6.682586912030963	5.278494081613811	4.1308045664785356	6.0568511501372	5.666834480845489	4.813709111122747	5.579263348638408	5.61284592115093	5.683361118427652	5.862705748264263	6.072601229276072	5.984746931039506	5.952112943739458
Serine	23.219261566167745	1906.0852773595511	69.0347871376169	108.10372321543866	1252.3236318261402	288.68795315905663	87.22382214210006	719.3063990484735	169.56950004507192	127.71101760676365	391.7678880043654	238.90680487607864	695.514616426704	2569.17558021942	1368.5107339793328	319.11858795705245	1056.47732008636	888.5532938804358	1174.7266263088802	661.0763150103004	1016.6397451523959	640.4314801284935	915.7005390551416	1080.6610807266732	718.7338779928718	4475.260857578971	1437.5455211169497	427.2223111724911	2308.8009519125	1177.2412470394925	1261.9504484509803	1380.382714058774	1186.209245197468	768.1424977352572	1307.468427059507	1319.5678856027519	672.2953548605362	663.0903028598691	1299.475946841716	211.0148647416138	-195.84631173978028	599.8653407213792	1087.5028041667802	-58.23008403817312	847.070245107324	512.7204625217298	523.9326510507763	841.7542758505945	6.577491161241377	8.40631992120645	7.270692439034086	6.057304512809594	7.744483600317035	7.070929054005339	7.140413778028378	7.230116068730761	7.078517993336037	6.643975259862643	7.17584804808309	7.185059602594779	6.510697760125725	6.496911184319571	7.169716344361735	5.351928580007039		6.396705197896452	6.991639341503681		6.741783625224228	6.239730789289748	6.26136314753149	6.735488137743868
Succinate	742.0095878337888	298.494415237954	285.4343370779896	356.645129850727	403.8145938610826	1792.8810163958874	820.2572081466462	1390.400991046026	2798.85609195645	1696.7357731993436	934.6806838756036	6927.92751145969	3003.247025753844	283.1855994865105	5035.592160444331	2316.5251660933845	1390.4118667770426	6911.567022712666	4919.240113734079	2479.680306792443	8742.824732401243	3800.774940774238	1740.5361228694198	10551.662721685994	3745.2566135876327	581.6800147244645	5321.026497522321	2673.170295944112	1794.2264606381252	8704.448039108553	5739.497321880725	3870.0812978384693	11541.680824357692	5497.510713973582	2675.2168067450234	17479.590233145685	2261.237437920055	-15.30881575144349	4750.157823366341	1959.8800362426575	986.59727291596	5118.686006316779	4098.982905587433	1089.2793157464168	5943.968640444793	2104.0391675748942	805.8554389938163	3623.735210226304	8.228245415256056	6.365920493655486	8.579421514385196	7.891020423778123	7.49232926689188	9.071589442852332	8.655126910893495	8.261030792996582	9.353720181479927	8.612050671308069	7.89178570529627	9.768789206895036	7.723667481324281		8.465933122448577	7.580638544352755	6.894261924672525	8.540653045704776	8.318494150109556	6.993271578334183	8.690132310550029	7.651614189451864	6.691904370333325	8.195260598882605
Xylulose-5P	64.70012597410769	1845.1322478726122	62.7277339700169	149.9237249257125	1039.6345685144213	175.70607607659218	166.45378521439645	95.51094598536899	175.07097769175616	502.0995082500932	573.4654126734065	131.4617103975122	379.635589603513	2045.081109941527	705.6192101453536	924.6275499631856	1222.704518102322	1041.968017977905	1478.657415379992	2021.4146740577653	875.391382371154	1520.511314316241	1983.9042562880106	1506.9702736983088	444.3357155776207	3890.2133578141393	768.3469441153704	1074.5512748888982	2262.3390866167433	1217.6740940544971	1645.1112005943885	2116.925620043134	1050.4623600629102	2022.6108225663343	2557.369668961417	1638.431984095821	314.93546362940526	199.94886206891488	642.8914761753367	774.7038250374732	183.06994958790074	866.2619419013129	1312.2036301655955	1925.9037280723962	700.3204046793978	1018.4118060661477	1410.4388436146041	1375.5085633007966	6.096580392886221	8.26621928287554	6.644241381289516	6.979658434710322	7.724154551107445	7.1046978377974535	7.405563260060278	7.657720135913537	6.956985689146136	7.612144442272668	7.846734536199368	7.401494956197506	5.752367740468431	5.298061644198438	6.4659759326608315	6.65248079506916	5.2098683179922665	6.764187336153752	7.179463163379741	7.563150605684249	6.551537951291684	6.925999639935377	7.251656171554251	7.226578805936524
