"Reactions of gene from enzyme activities for itaconate production in yarrowia"	"Matches"
FUMHYDR-RXN	G1FV3-28580
DAHPSYN-RXN	G1FV3-28589 // G1FV3-30252
RXN-16001	G1FV3-28609
RXN-16000	G1FV3-28609
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	G1FV3-28671
ACETOLACTSYN-RXN	G1FV3-28712 // G1FV3-28292
ACETOOHBUTSYN-RXN	G1FV3-28712 // G1FV3-28292
ISOLEUCINE--TRNA-LIGASE-RXN	G1FV3-28764 // G1FV3-30424
THYMIDYLATESYN-RXN	G1FV3-28770
BIOTIN-CARBOXYL-RXN	G1FV3-28793
RXN0-5055	G1FV3-28793
ACETYL-COA-CARBOXYLTRANSFER-RXN	G1FV3-28793
RIBULP3EPIM-RXN	G1FV3-28814
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	G1FV3-28851
DIHYDROFOLATEREDUCT-RXN	G1FV3-28852
RXN-18357	G1FV3-28852
GALACTOKIN-RXN	G1FV3-28864
DTMPKI-RXN	G1FV3-28873
RXN-15089	G1FV3-28920
RXN-15088	G1FV3-28920
3.1.1.23-RXN	G1FV3-28920
RXN-12610	G1FV3-28970
RXN-12611	G1FV3-28970
THI-P-SYN-RXN	G1FV3-28970
THIAZOLSYN3-RXN	G1FV3-28970
TRANS-RXN1FV3-9	G1FV3-28981 // G1FV3-29547
GUANYL-KIN-RXN	G1FV3-29006
PEPCARBOXYKIN-RXN	G1FV3-29032
GLUTATHIONE-SYN-RXN	G1FV3-29066
RXN-9227	G1FV3-29082
RXN3O-54	G1FV3-29082
RXN-9242	G1FV3-29082
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	G1FV3-29082
RXN-11754	G1FV3-29082
RXN-9235	G1FV3-29082
TRYPTOPHAN--TRNA-LIGASE-RXN	G1FV3-29091 // G1FV3-29753
TRANS-PENTAPRENYLTRANSFERASE-RXN	G1FV3-29107
RXN-11485	G1FV3-29107
TRANSENOYLCOARED-RXN	G1FV3-29146
RXN-7711	G1FV3-29146 // G1FV3-30625
RXN66-482	G1FV3-29146
RXN-13306	G1FV3-29146 // G1FV3-30625
RXN-13309	G1FV3-29146 // G1FV3-30625
RXN-13307	G1FV3-29146 // G1FV3-30625
RXN-13308	G1FV3-29146 // G1FV3-30625
RXN-9546	G1FV3-29146
RXN-14205	G1FV3-29151
NUCLEOSIDE-DIPHOSPHATASE-RXN	G1FV3-29151
RXN-14024	G1FV3-29151
NUCLEOSIDE-TRIPHOSPHATASE-RXN	G1FV3-29151
RXN-10862	G1FV3-29151
APYRASE-RXN	G1FV3-29151
ATPASE-RXN	G1FV3-29151
RXN-12198	G1FV3-29151
RXN-12200	G1FV3-29151
RXN-12195	G1FV3-29151
RXN-14215	G1FV3-29151
RXN-14195	G1FV3-29151
RXN-14214	G1FV3-29151
RXN-14187	G1FV3-29151
RXN-14198	G1FV3-29151
RXN-14216	G1FV3-29151
RXN-14218	G1FV3-29151
RXN-14208	G1FV3-29151
RXN-14217	G1FV3-29151
RXN-14213	G1FV3-29151
RXN-14200	G1FV3-29151
THYMIDINE-TRIPHOSPHATASE-RXN	G1FV3-29151
RXN-14220	G1FV3-29151
RXN-14199	G1FV3-29151
RXN-14219	G1FV3-29151
GUANOSINE-DIPHOSPHATASE-RXN	G1FV3-29151 // G1FV3-29071
RXN-14201	G1FV3-29151
RXN0-5462	G1FV3-29151
RXN-12197	G1FV3-29151
RXN-12199	G1FV3-29151
RXN-12196	G1FV3-29151
5-NUCLEOTID-RXN	G1FV3-29158 // G1FV3-30755
AMP-DEPHOSPHORYLATION-RXN	G1FV3-29158 // G1FV3-30755
RXN-5841	G1FV3-29158 // G1FV3-30755
RXN-14227	G1FV3-29158 // G1FV3-30755
RXN-14026	G1FV3-29158 // G1FV3-30755
RXN-7609	G1FV3-29158 // G1FV3-30755
RXN-14025	G1FV3-29158 // G1FV3-30755
XMPXAN-RXN	G1FV3-29158 // G1FV3-30755
RXN-16616	G1FV3-29162
RXN0-2142	G1FV3-29162
RXN-16622	G1FV3-29162
RXN-16626	G1FV3-29162
RXN1G-349	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-157	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-469	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-10060	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-10655	G1FV3-29162
RXN-10659	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9556	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9528	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-13008	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9532	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-11476	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9518	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-508	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9536	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9524	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9540	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9552	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-11480	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-9633	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
3-OXOACYL-ACP-REDUCT-RXN	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-163	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-260	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-358	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-881	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-1053	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-287	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-72	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-364	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN1G-240	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
RXN-16630	G1FV3-29162
RXN-9514	G1FV3-29162 // G1FV3-30227 // G1FV3-30029
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	G1FV3-29183
R145-RXN	G1FV3-29184
GAMMA-GLUTAMYLTRANSFERASE-RXN	G1FV3-29192 // G1FV3-28791
RXN-6601	G1FV3-29192 // G1FV3-28791
RXN-18092	G1FV3-29192 // G1FV3-28791
RXN-12618	G1FV3-29192 // G1FV3-28791
RXN-9157	G1FV3-29192 // G1FV3-28791
RXN66-336	G1FV3-29192 // G1FV3-28791
GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN	G1FV3-29211
RXN-7667	G1FV3-29211
1.1.1.170-RXN	G1FV3-29261
RXN66-313	G1FV3-29261
RXN66-18	G1FV3-29261
RXN66-318	G1FV3-29261
RXN66-23	G1FV3-29261
RXN-13926	G1FV3-29261
DCMP-DEAMINASE-RXN	G1FV3-29311
TRANS-RXN-108	G1FV3-29318
DIHYDROXYISOVALDEHYDRAT-RXN	G1FV3-29322
DIHYDROXYMETVALDEHYDRAT-RXN	G1FV3-29322
PYRUVATE-CARBOXYLASE-RXN	G1FV3-29353
RXN-15131	G1FV3-27085
CYSTATHIONINE-BETA-LYASE-RXN	G1FV3-27085
RXN-15137	G1FV3-27085
RXN-12729	G1FV3-27085
HOMOSERDEHYDROG-RXN	G1FV3-27107
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	G1FV3-27115
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	G1FV3-27115
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	G1FV3-27115
5-FORMYL-THF-CYCLO-LIGASE-RXN	G1FV3-27117
UGD-RXN	G1FV3-27160
GART-RXN	G1FV3-27193
ACETOOHBUTREDUCTOISOM-RXN	G1FV3-27196
ACETOLACTREDUCTOISOM-RXN	G1FV3-27196
RXN1FV3-4	G1FV3-27241 // G1FV3-30689
RXN0-5408	G1FV3-27247
RXN-7253	G1FV3-27247
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	G1FV3-27247
RXN-10952	G1FV3-27247
RXN-10953	G1FV3-27247
RXN-10954	G1FV3-27247
RXN-10949	G1FV3-27247
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	G1FV3-27249
TRANS-RXN1FV3-6	G1FV3-27304
TRANS-RXN1FV3-19	G1FV3-27304
TRANS-RXN-141	G1FV3-27304
RXN0-12	G1FV3-27304
RXN-14270	G1FV3-27314
ADENPRIBOSYLTRAN-RXN	G1FV3-27314
2.4.1.83-RXN	G1FV3-27334
RXN-16602	G1FV3-27334
ALANINE-AMINOTRANSFERASE-RXN	G1FV3-27336
RXN-13698	G1FV3-27336
PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	G1FV3-27341
RXN-14171	G1FV3-27345
RXN-10057	G1FV3-27345
GLYOXII-RXN	G1FV3-27367
RXN-7919	G1FV3-27367
RXN-11315	G1FV3-27397
PHOSPHASERSYN-RXN	G1FV3-27436
3PGAREARR-RXN	G1FV3-27470
ACONITATEHYDR-RXN	G1FV3-27477
ACONITATEDEHYDR-RXN	G1FV3-27477
RXN-14047	G1FV3-27477
KYNURENINE-3-MONOOXYGENASE-RXN	G1FV3-27499
PHENYLPYRUVATE-DECARBOXYLASE-RXN	G1FV3-27512
RXN-7643	G1FV3-27512
4.1.1.80-RXN	G1FV3-27512
RXN-7692	G1FV3-27512
PYRUVATE-DECARBOXYLASE-RXN	G1FV3-27512
BENZOYLFORMATE-DECARBOXYLASE-RXN	G1FV3-27512
RXN-6161	G1FV3-27512
RXN-7970	G1FV3-27534
IGPSYN-RXN	G1FV3-27559
ASPARTATEKIN-RXN	G1FV3-27588
PHOSGLYPHOS-RXN	G1FV3-27619
PHOSMANMUT-RXN	G1FV3-27652
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	G1FV3-27672
TRANS-RXN1FV3-4	G1FV3-27688
PMPOXI-RXN	G1FV3-27699
PNPOXI-RXN	G1FV3-27699
RXN-17573	G1FV3-27718 // G1FV3-30078
2.5.1.58-RXN	G1FV3-27718 // G1FV3-30078
ORNCARBAMTRANSFER-RXN	G1FV3-27723
RXN-13482	G1FV3-27723
CYSTEINE--TRNA-LIGASE-RXN	G1FV3-27738
2.8.1.6-RXN	G1FV3-27744
RXN-17472	G1FV3-27744
RXN-17473	G1FV3-27744
TREHALA-RXN	G1FV3-27753
6PFRUCTPHOS-RXN	G1FV3-27785
R83-RXN	G1FV3-27804
R82-RXN	G1FV3-27804
3.1.3.77-RXN	G1FV3-27804
FARNESYLTRANSTRANSFERASE-RXN	G1FV3-27816
CYTIDEAM-RXN	G1FV3-27817
CYTIDEAM2-RXN	G1FV3-27817
O-SUCCHOMOSERLYASE-RXN	G1FV3-27833 // G1FV3-29258
RXN-9969	G1FV3-27840 // G1FV3-29109
RXN-11963	G1FV3-27840 // G1FV3-29109
RXN-13290	G1FV3-27854
RXN-16389	G1FV3-27854
RXN-16402	G1FV3-27854
RXN-16401	G1FV3-27854
RXN-12184	G1FV3-27854
RXN66-474	G1FV3-27854
ACYLCOASYN-RXN	G1FV3-27854
TRANS-RXN0-623	G1FV3-27854
RXN66-483	G1FV3-27854
RXN66-469	G1FV3-27854
RXN-7904	G1FV3-27854
RXN-16415	G1FV3-27854
RXN-16418	G1FV3-27854
LINOLENOYL-RXN	G1FV3-27854
RXN66-477	G1FV3-27854
RXN0-7238	G1FV3-27854
RXN-13614	G1FV3-27854
RXN-12978	G1FV3-27854
RXN-16393	G1FV3-27854
RXN-9673	G1FV3-27854
R223-RXN	G1FV3-27854
RXN-9644	G1FV3-27854
RXN0-7239	G1FV3-27854
RXN-9623	G1FV3-27854
RXN0-7248	G1FV3-27854
RXN66-480	G1FV3-27854
RXN66-484	G1FV3-27854
RXN-16380	G1FV3-27854
CHORISMATE-SYNTHASE-RXN	G1FV3-27857
2.7.7.15-RXN	G1FV3-27873
ALLANTOICASE-RXN	G1FV3-27876
STEROL-GLUCOSYLTRANSFERASE-RXN	G1FV3-27879
RXN-12125	G1FV3-27879
RXN-12127	G1FV3-27879
RXN-16975	G1FV3-27879
RXN-12128	G1FV3-27879
RXN-12123	G1FV3-27879
RXN-12126	G1FV3-27879
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	G1FV3-27881
