	fluxes	reduced_costs
y000657	0.0	0.0
y000658	0.0	-0.4241288257104112
y000659	0.0	-0.3694025256187432
y000661	0.0	0.0
y000662	0.0	-0.3283578005499944
y000663	0.0	-3.1086244689504383e-15
y000664	0.0	-0.0
y000665	0.0	0.0
y000666	0.0	6.938893903907228e-18
y000667	0.0	0.0
y000668	0.0	-2.42861286636753e-17
y000669	0.0	-5.551115123125783e-17
y000670	0.0	-0.45964619446990884
y000671	0.0	0.0
y000672	0.0	0.0
y000673	0.0	2.220446049250313e-16
y000674	0.0	0.0
y000675	0.0	0.0
y000676	0.0	-0.0
y000678	0.0	-4.440892098500626e-16
y000679	0.0	-0.0
y000681	0.0	-2.220446049250313e-16
y000682	0.0	-4.440892098500626e-16
y000683	0.0	-1.603234324335419
y000687	0.0	0.0
y000688	0.0	-1.2466377529381205
y000689	0.0	0.0
y000690	0.0	-0.8508845138252312
y000691	0.0	0.0
y000692	0.0	-0.01368157502291667
y000693	0.0	0.0
y000694	0.0	0.0
y000697	0.0	0.0
y000698	0.0	0.0
y000699	0.0	-0.0
y000700	0.0	2.220446049250313e-16
y000701	0.0	0.0
y000702	0.0	6.938893903907228e-18
y000703	0.0	0.0
y000704	0.0	0.0
y000705	0.0	0.0
y000706	0.0	0.0
y000707	0.0	0.0
y000708	0.0	0.0
y000711	0.0	-2.875483985716437
y000712	0.0	-0.027363150045833326
y000713	1.1326702329972245	0.0
y000714	-1.132670232997227	-0.0
y000715	0.0	-0.0
y000716	0.0	-0.15049732525208437
y000717	0.0	-0.15049732525208404
y000718	0.0	-0.013681575022914227
y000719	0.0	-0.013681575022917336
y000721	0.0	-1.1102230246251565e-16
y000722	0.0	2.2898349882893854e-16
y000723	0.0	-0.0
y000724	0.0	-0.0
y000725	-2.4632860688451263e-15	0.0
y000726	0.0	4.440892098500626e-16
y000727	0.0	0.0
y000728	0.0	0.0
y000729	0.0	-2.9684913327222304
y000730	0.0	-2.9684913327222304
y000731	0.0	-0.06840787511458402
y000732	-2.4632860688451263e-15	-4.440892098500626e-16
y000733	0.0	-5.551115123125783e-17
y000734	0.0	0.0
y000735	0.0	0.0
y000736	0.0	0.0
y000737	0.0	0.0
y000738	0.0	0.0
y000739	0.0	0.0
y000757	0.0	-1.3877787807814457e-17
y000758	0.0	0.0
y000759	-6.596106494851901e-17	-7.979727989493313e-17
y000760	0.0	0.0
y000761	0.0	-2.53620828829815
y000762	0.0	0.0
y000764	0.0	0.0
y000765	0.0	-0.06840787511458313
y000766	7.242930941079681e-19	1.5543122344752192e-15
y000767	0.0	-2.220446049250313e-16
y000768	1.4945876108692657e-16	-1.1102230246251565e-15
y000769	0.0	4.440892098500626e-16
y000770	0.0	-0.05472630009166668
y000771	0.0	0.0
y000772	-7.242930941079681e-19	5.551115123125783e-17
y000773	0.0	-0.054726300091667124
y000774	1.4945876108692657e-16	6.938893903907228e-18
y000775	0.0	-4.85722573273506e-17
y000781	0.0	-0.1778604752979136
y000782	0.0	-0.8536481919798593
y000783	0.0	0.0
y000784	0.0	2.220446049250313e-16
y000785	1.4945876108692657e-16	2.220446049250313e-16
y000786	0.0	6.938893903907228e-18
y000787	0.0	6.938893903907228e-18
y000788	0.0	-0.041044725068749344
y000789	0.0	-0.041044725068749344
y000790	0.0	-0.041044725068749344
y000791	0.0	0.0
y000792	0.0	0.0
y000793	0.0	-1.3877787807814457e-17
y000795	0.0	0.0
y000796	0.0	4.440892098500626e-16
y000797	0.0	0.0
y000798	0.0	0.0
y000799	0.0	0.0
y000800	-1.2255324004983893e-15	0.0
y000801	0.0	0.0
y000802	0.0	-0.0
y000803	0.0	-0.0
y000804	0.0	-0.04104472506874937
y000805	0.0	-0.04104472506874937
y000806	0.0	-0.04104472506874937
y000807	0.0	-0.04104472506874937
y000810	0.0	-0.041044725068749344
y000811	0.0	0.0
y000812	0.0	0.0
y000813	0.0	0.0
y000815	2.627747146133504e-18	-0.0
y000816	0.0	-1.3877787807814457e-17
y000817	0.0	-1.8166121683928251
y000818	-6.596106494851901e-17	0.0
y000819	-6.596106494851901e-17	-4.440892098500626e-16
y000820	0.0	-4.510281037539698e-16
y000821	0.0	0.0
y000831	4.8478932846508054e-17	-2.220446049250313e-16
y000832	4.8478932846508054e-17	-5.551115123125783e-17
y000841	0.0	-3.6252069338222217
y000842	0.0	0.0
y000843	0.0	0.0
y000844	0.0	-0.06840787511458268
y000845	0.0	-0.06840787511458313
y000847	0.0	-0.06840787511458402
y000848	0.0	-0.06840787511458313
y000849	0.0	3.469446951953614e-18
y000850	0.0	-0.06840787511458268
y000851	0.0	-0.0
y000852	0.0	-4.021835793736582
y000853	0.0	-4.021835793736582
y000854	0.0	-3.8056942715245454
y000855	-1.2255324004983893e-15	0.0
y000859	0.0	2.6680047060523293e-15
y000860	0.0	-1.6653345369377348e-16
y000866	0.0	-0.04104472506875112
y000867	0.0	-0.08208945013750091
y000875	0.0	-1.7763568394002505e-15
y000876	0.0	6.661338147750939e-16
y000877	0.0	1.6653345369377348e-16
y000878	0.0	-0.013681575022916455
y000879	0.0	-0.013681575022916455
y000880	0.0	1.7763568394002505e-15
y000882	0.0	0.0
y000883	0.0	-1.3322676295501878e-15
y000884	0.0	-0.04104472506874801
y000885	0.0	6.938893903907228e-18
y000886	1.0000000000000009	0.0
y000887	0.0	0.0
y000888	0.0	0.0
y000889	0.0	4.440892098500626e-16
y000890	0.0	-0.0
y000891	0.0	-0.08208945013749869
y000892	2.000000000000002	0.0
y000893	2.000000000000002	0.0
y000899	0.0	-0.06840787511458046
y000900	0.0	4.44436154545258e-15
y000901	0.0	-8.847089727481716e-16
y000902	0.0	-0.0
y000903	0.0	0.0
y000904	0.0	0.0
y000905	0.0	-1.8631842497708369
y000906	0.0	0.0
y000907	0.0	0.0
y000908	-1.2255324004983893e-15	0.0
y000909	0.0	0.0
y000910	0.0	-2.1510571102112408e-16
y000911	-1.2255324004983893e-15	0.0
y000912	-1.3367019097564706e-15	0.0
y000913	1.2221267848347797e-17	0.0
y000914	-1.2255324004983893e-15	1.0547118733938987e-15
y000915	-1.2255324004983893e-15	0.0
y000916	-1.332267629550188e-15	-2.220446049250313e-16
y000917	0.0	0.0
y000918	0.0	0.0
y000919	0.0	0.0
y000921	0.0	0.0
y000922	0.0	-0.17509679714328819
y000923	0.0	-0.041044725068750676
y000929	0.0	0.0
y000935	0.0	0.0
y000936	0.0	0.0
y000937	0.0	0.0
y000938	0.0	0.0
y000939	0.0	0.0
y000940	0.0	-0.06840787511457957
y000941	0.0	0.0
y000942	0.0	0.0
y000943	0.0	1.3877787807814457e-17
y000949	0.0	1.3877787807814457e-17
y000950	0.0	2.42861286636753e-17
y000951	0.0	1.3877787807814457e-17
y000953	0.0	0.0
y000954	0.0	0.0
y000955	0.0	-0.0
y000956	0.0	0.0
y000957	0.0	0.0
y000958	1.6633511649861172	-6.661338147750939e-16
y000959	1.9122693742083508e-15	3.3306690738754696e-16
y000960	0.0	0.0
y000961	0.6019893010083314	0.0
y000962	2.000000000000002	-2.220446049250313e-16
y000963	0.0	-0.6757877166819464
y000964	0.0	-0.041044725068749344
y000965	0.0	-0.09577102516041558
y000966	0.0	-0.09577102516041547
y000967	0.0	-1.712686924518756
y000968	0.0	0.0
y000969	0.0	0.0
y000974	0.0	0.0
y000975	0.0	0.0
y000976	0.0	0.0
y000977	0.0	0.0
y000978	0.0	0.0
y000979	0.0	0.0
y000982	-8.881784197001252e-16	0.0
y000983	0.0	-0.041044725068749344
y000984	8.881784197001254e-16	0.0
y000985	0.0	-0.7305140167736116
y000986	0.0	-1.7763568394002505e-15
y000987	0.0	0.0
y000988	0.0	0.0
y000989	0.0	0.0
y000990	0.0	0.0
y000993	0.0	-10.965727654567617
y000995	0.0	-1.0533444610143528
y000996	0.0	0.0
y000997	0.0	0.0
y000998	0.0	-1.2859312364039353
y000999	0.0	0.0
y001001	0.0	0.0
y001002	0.0	-1.6524332681178286
y001003	0.0	0.0
y001004	0.0	0.0
y001005	0.0	0.0
y001006	0.0	-0.041044725068749364
y001007	0.0	-0.041044725068749364
y001010	0.0	8.847089727481716e-16
y001011	0.0	-8.916478666520788e-16
y001012	0.0	-4.440892098500626e-16
y001021	4.8478932846508054e-17	1.3877787807814457e-17
y001022	0.0	-0.04104472506874974
y001023	0.0	0.0
y001024	0.0	0.0
y001025	0.0	0.0
y001027	0.0	0.0
y001028	0.0	-0.041044725068749344
y001029	0.0	0.0
y001030	0.0	0.0
y001031	0.0	-2.220446049250313e-16
y001032	0.0	0.0
y001033	0.0	0.0
y001034	0.0	0.0
y001035	0.0	0.0
y001036	0.0	3.469446951953614e-18
y001037	0.0	-0.17509679714328819
y001038	0.0	0.0
y001039	0.0	-5.551115123125783e-17
y001040	0.5306809319888918	0.0
y001041	0.5306809319888918	0.0
y001042	0.0	-1.6059980024900495
y001043	0.0	-1.5923164274671329
y001045	0.0	0.0
y001047	0.0	6.938893903907228e-18
y001048	4.440892098500627e-16	0.0
y001049	4.440892098500627e-16	0.0
y001050	4.440892098500627e-16	2.220446049250313e-16
y001051	0.0	0.0
y001053	0.0	-0.06840787511458046
y001054	1.0000000000000009	0.0
y001055	1.2221267848347797e-17	-1.1102230246251565e-16
y001056	0.0	0.0
y001057	0.0	-4.779712960556028
y001058	0.0	-0.027363150045833326
y001059	0.0	0.0
y001063	-1.2221267848347797e-17	0.0
y001065	0.0	2.220446049250313e-16
y001066	0.0	-3.8467389965932934
y001067	0.0	-0.027363150045833326
y001068	0.0	1.7763568394002505e-15
y001069	0.0	2.2898349882893854e-16
y001070	0.0	-0.0
y001071	0.0	0.0
y001072	0.0	2.220446049250313e-16
y001073	0.0	0.0
y001074	0.0	0.0
y001075	0.0	0.0
y001076	0.0	-0.6949966480141164
y001077	0.0	0.0
y001078	0.0	0.0
y001079	0.0	-0.04104472506874979
y001080	0.0	-0.04104472506874979
y001081	0.0	0.0
y001082	0.0	0.0
y001083	0.0	0.0
y001084	0.0	0.0
y001085	0.0	-0.041044725068749344
y001086	0.0	-0.041044725068749344
y001087	4.04868308942193e-17	0.0
y001088	-4.04868308942193e-17	-0.0
y001089	0.0	0.0
y001090	0.0	6.938893903907228e-18
y001091	0.0	6.938893903907228e-18
y001092	0.0	0.0
y001093	0.0	0.0
y001094	0.0	0.0
y001095	0.0	0.0
y001096	0.0	0.0
y001097	0.0	0.0
y001098	0.0	0.0
y001099	0.0	0.0
y001100	0.0	0.0
y001101	0.0	0.0
y001102	0.0	-0.06156708760312332
y001103	0.0	0.0
y001104	0.0	-0.0
y001106	0.0	0.0
y001107	0.0	-1.9014652966849588
y001108	0.0	0.0
y001109	0.0	0.0
y001110	4.582096290925008	0.0
y001111	0.0	0.0
y001112	1.7981164983494284e-16	-4.440892098500626e-16
y001113	0.0	0.0
y001114	0.0	0.0
y001115	-6.575540700605457e-15	-1.1102230246251565e-16
y001116	0.0	0.0
y001118	-6.661338147750939e-16	0.0
y001119	0.0	0.0
