!!SBtab TableType='Compound' TableName='Compound Formation Energies pH=5.0'
!Identifiers:kegg.compound,!Compound,transformed standard Gibbs free energy of formation [kJ/mol],pH,ionic strength [M],temperature [K],!Comment
C00216,D-Arabinose,-450.89999999999998,5.0,0.1,298.15,
C00218,Methylamine,134.30000000000001,5.0,0.1,298.15,
C00224,Adenylyl sulfate,-1194.8,5.0,0.1,298.15,
C00227,Acetyl phosphate,-1154.0999999999999,5.0,0.1,298.15,
C00233,4-Methyl-2-oxopentanoate,-183.5,5.0,0.1,298.15,
C00236,3-Phospho-D-glyceroyl phosphate,-2268.0,5.0,0.1,298.15,
C00237,CO,-119.90000000000001,5.0,0.1,298.15,
C00243,Lactose,-926.29999999999995,5.0,0.1,298.15,
C00244,Nitrate,-109.40000000000001,5.0,0.1,298.15,
C00245,Taurine,-335.19999999999999,5.0,0.1,298.15,
C00246,Butanoic acid,-149.30000000000001,5.0,0.1,298.15,
C00247,L-Sorbose,-562.29999999999995,5.0,0.1,298.15,
C00249,Hexadecanoic acid,643.20000000000005,5.0,0.1,298.15,
C00252,Isomaltose,-946.70000000000005,5.0,0.1,298.15,
C00257,D-Gluconic acid,-808.39999999999998,5.0,0.1,298.15,
C00258,D-Glycerate,-515.89999999999998,5.0,0.1,298.15,
C00262,Hypoxanthine,206.0,5.0,0.1,298.15,
C00275,D-Mannose-6-phosphate,-1447.8,5.0,0.1,298.15,
C00282,Hydrogen,75.900000000000006,5.0,0.1,298.15,
C00283,Hydrogen sulfide,30.399999999999999,5.0,0.1,298.15,
C00288,CO2(total),-565.0,5.0,0.1,298.15,
C00294,Inosine,-59.5,5.0,0.1,298.15,
C00300,Creatine,3.0,5.0,0.1,298.15,
C00305,Magnesium cation,77.400000000000006,5.0,0.1,298.15,
C00309,D-Ribulose,-444.60000000000002,5.0,0.1,298.15,
C00310,D-Xylulose,-454.80000000000001,5.0,0.1,298.15,
C00311,Isocitrate,-1021.0,5.0,0.1,298.15,
C00313,Oxalyl-CoA,378.0,5.0,0.1,298.15,
C00332,Acetoacetyl-CoA,753.79999999999995,5.0,0.1,298.15,
C00342,Thioredoxin,32.899999999999999,5.0,0.1,298.15,
C00343,Thioredoxin disulfide,0.0,5.0,0.1,298.15,
C00354,"D-Fructose-1,6-bisphosphate",-2327.5999999999999,5.0,0.1,298.15,
C00366,Urate,-241.5,5.0,0.1,298.15,
C00376,Retinal,815.79999999999995,5.0,0.1,298.15,
C00379,Xylitol,-434.39999999999998,5.0,0.1,298.15,
C00387,Guanosine,378.80000000000001,5.0,0.1,298.15,
C00390,Ubiquinol,2590.6999999999998,5.0,0.1,298.15,
C00392,Mannitol,-534.70000000000005,5.0,0.1,298.15,
C00399,Ubiquinone,2622.3000000000002,5.0,0.1,298.15,
C00407,L-Isoleucine,34.899999999999999,5.0,0.1,298.15,
C00417,cis-Aconitate,-835.20000000000005,5.0,0.1,298.15,
C00423,trans-Cinnamate,74.599999999999994,5.0,0.1,298.15,
C00455,Nicotinamide D-ribonucleotide,1239.5,5.0,0.1,298.15,
C00463,Indole,427.80000000000001,5.0,0.1,298.15,
C00469,Ethanol,-6.7999999999999998,5.0,0.1,298.15,
C00473,Retinol,846.20000000000005,5.0,0.1,298.15,
C00474,Ribitol,-425.19999999999999,5.0,0.1,298.15,
C00476,D-Lyxose,-457.80000000000001,5.0,0.1,298.15,
C00491,L-Cystine,-316.89999999999998,5.0,0.1,298.15,
C00533,Nitric oxide,86.599999999999994,5.0,0.1,298.15,
C00543,Dimethylamine,229.19999999999999,5.0,0.1,298.15,
C00565,Trimethylamine,328.0,5.0,0.1,298.15,
C00575,"3',5'-Cyclic AMP",-471.0,5.0,0.1,298.15,
C00577,D-Glyceraldehyde,-265.19999999999999,5.0,0.1,298.15,
C00620,D-Ribose-1-phosphate,-1335.3,5.0,0.1,298.15,
C00631,2-Phospho-D-glycerate,-1396.8,5.0,0.1,298.15,
C00636,D-Mannos-1-phosphate,-1442.5,5.0,0.1,298.15,
C00644,d-mannitol-1-phosphate,-1423.5999999999999,5.0,0.1,298.15,
C00673,2-Deoxy-D-ribose-5-phosphate,-1195.5,5.0,0.1,298.15,
C00697,Nitrogen,18.699999999999999,5.0,0.1,298.15,
C00791,Creatinine,180.80000000000001,5.0,0.1,298.15,
C00794,D-Sorbitol,-538.39999999999998,5.0,0.1,298.15,
C00849,Ethyl acetate,-104.59999999999999,5.0,0.1,298.15,
C00887,Nitrous oxide,104.2,5.0,0.1,298.15,
C00920,CoA-glutathione,1420.4000000000001,5.0,0.1,298.15,
C01005,O-Phospho-L-serine,-1194.4000000000001,5.0,0.1,298.15,
C01013,3-Hydroxypropanoate,-373.30000000000001,5.0,0.1,298.15,
C01083,"alpha,alpha-Trehalose",-941.79999999999995,5.0,0.1,298.15,
C01096,D-Sorbitol 6-phosphate,-1422.7,5.0,0.1,298.15,
C01112,Arabinose-5-phosphate,-1345.9000000000001,5.0,0.1,298.15,
C01113,6-Phospho-D-galactose,-1444.8,5.0,0.1,298.15,
C01127,4-Hydroxy-2-oxoglutaric acid,-857.70000000000005,5.0,0.1,298.15,
C01236,"6-Phospho-D-glucono-1,5-lactone",-1492.2,5.0,0.1,298.15,
C01352,FADH2,920.20000000000005,5.0,0.1,298.15,
C01384,Maleic acid,-536.29999999999995,5.0,0.1,298.15,
C01412,Butanal,103.2,5.0,0.1,298.15,
C01417,Cyanate,-98.0,5.0,0.1,298.15,
C01438,Methane,82.200000000000003,5.0,0.1,298.15,
C01507,L-Iditol,-536.79999999999995,5.0,0.1,298.15,
C01563,Carbamate,-320.0,5.0,0.1,298.15,
C01845,Propan-2-ol,47.899999999999999,5.0,0.1,298.15,
C01847,Reduced FMN,570.5,5.0,0.1,298.15,
C01879,Pidolic acid,-294.89999999999998,5.0,0.1,298.15,
C02037,Glycylglycine,-287.10000000000002,5.0,0.1,298.15,
C02084,Tetrathionate,-1024.5999999999999,5.0,0.1,298.15,
C02226,2-Methylmaleate,-491.69999999999999,5.0,0.1,298.15,
C02557,DL-Methylmalonyl-CoA,502.0,5.0,0.1,298.15,
C02612,(R)-2-Methylmalate,-671.5,5.0,0.1,298.15,
C03196,(S)-2-Hydroxyglutarate,-667.79999999999995,5.0,0.1,298.15,
C03232,3-Phosphonooxypyruvate,-1395.9000000000001,5.0,0.1,298.15,
C03383,"D-Galactono-1,4-lactone",-614.0,5.0,0.1,298.15,
C03384,D-Galactose-1-phosphate,-1443.2,5.0,0.1,298.15,
C04348,(3S)-3-Carboxy-3-hydroxypropanoyl-CoA,341.0,5.0,0.1,298.15,
C05361,Hydrazine,244.59999999999999,5.0,0.1,298.15,
C05379,Oxalosuccinate,-1024.8,5.0,0.1,298.15,
C05572,4-Oxoglutaramate,-421.69999999999999,5.0,0.1,298.15,
C05979,Propane-1-ol,57.299999999999997,5.0,0.1,298.15,
C05984,2-Hydroxybutanoic acid,-303.0,5.0,0.1,298.15,
C06142,1-Butanol,119.5,5.0,0.1,298.15,
C07064,Lactulose,-934.20000000000005,5.0,0.1,298.15,
C09306,Sulfur dioxide,-300.69999999999999,5.0,0.1,298.15,
C80045,ethane,157.80000000000001,5.0,0.1,298.15,
